memUse,memTot,memfreq,cpuidle,cpufreq
4493,202772,275000000,100.0,1400000
22075,165726,825000000,0.0,1400000
964,25812,413000000,0.0,1400000
610184,4606253,825000000,100.0,1400000
3828,227833,825000000,0.0,1400000
503,41090,825000000,0.0,1400000
366,20975,825000000,10.0,1400000
96030,499876,825000000,47.4,1400000
654434,1187205,825000000,60.0,1400000
352299,530848,825000000,68.2,1400000
352299,530848,825000000,66.7,1400000
285183,401631,825000000,52.4,1400000
312526,417772,825000000,66.7,1400000
300567,406892,825000000,63.6,1400000
307660,406528,825000000,70.0,1400000
309109,405486,825000000,61.9,1400000
882256,1306201,825000000,54.5,1400000
573933,991555,825000000,42.9,1400000
581726,1415458,825000000,21.1,1400000
19149,180294,825000000,4.8,1400000
51751,406134,413000000,22.7,1400000
141811,453397,825000000,57.9,1400000
233912,2611302,825000000,52.4,1400000
914479,1422773,825000000,66.7,1400000
575918,813294,825000000,65.2,1400000
327435,405842,825000000,66.7,1400000
1281685,1712313,825000000,68.2,1400000
1281685,1712313,825000000,70.0,1400000
595712,849400,825000000,61.9,1400000
770194,1196070,825000000,60.0,1400000
14654,179870,825000000,47.6,1400000
139788,1469782,825000000,22.7,1400000
139788,1469782,825000000,5.3,1400000
737250,3155806,825000000,100.0,1400000
841415,8853137,825000000,0.0,1400000
811120,14450837,543000000,0.0,1400000
811120,14450837,543000000,100.0,1400000
11285,161754,543000000,0.0,1400000
11285,161754,543000000,100.0,1400000
11296,161883,543000000,0.0,1400000
51403,292780,825000000,26.1,1400000
9156,180369,825000000,52.4,1400000
763049,1265808,825000000,70.0,1400000
1276088,1765917,825000000,63.6,1400000
715470,905972,825000000,65.2,1400000
2302809,3015696,825000000,65.2,1400000
2302809,3015696,825000000,62.5,1400000
2302809,3015696,825000000,66.7,1400000
2302809,3015696,825000000,68.4,1400000
457564,687700,825000000,60.0,1400000
253822,406169,825000000,47.6,1400000
948593,1781237,825000000,25.0,1400000
212086,1016647,825000000,10.0,1400000
135977,1501265,543000000,15.0,1400000
158062,422499,825000000,52.6,1400000
243926,406760,825000000,54.5,1400000
317543,405147,825000000,71.4,1400000
323520,404763,825000000,71.4,1400000
310897,405190,825000000,71.4,1400000
326139,406574,825000000,63.6,1400000
295908,406565,825000000,63.6,1400000
1036906,1332028,825000000,59.1,1400000
1480843,2013431,825000000,57.1,1400000
1480843,2013431,825000000,47.6,1400000
1480843,2013431,825000000,31.8,1400000
96460,473632,825000000,10.0,1400000
179523,1375393,825000000,4.5,1400000
698168,4934673,825000000,40.0,1400000
777832,9528545,825000000,0.0,1400000
12196,309323,825000000,0.0,1400000
12196,309323,825000000,0.0,1400000
12196,309323,825000000,0.0,1400000
13285,696097,206000000,0.0,1400000
13285,696097,206000000,4.8,1400000
39284,494036,825000000,31.8,1400000
125584,1759373,825000000,55.0,1400000
323004,513091,825000000,55.0,1400000
271911,397827,825000000,47.6,1400000
402205,502091,825000000,68.2,1400000
4269,1933377,825000000,63.6,1400000
4269,1933377,825000000,63.6,1400000
4269,1933377,825000000,65.0,1400000
46278,271104,825000000,61.9,1400000
267129,402286,825000000,52.4,1400000
15412,180325,825000000,42.9,1400000
481304,1118074,825000000,19.0,1400000
23673,180310,825000000,5.0,1400000
47926,627999,825000000,21.1,1400000
179319,406949,825000000,47.6,1400000
26608,180416,825000000,65.0,1400000
322002,478701,825000000,66.7,1400000
322002,478701,825000000,70.0,1400000
139344,412334,825000000,68.2,1400000
290154,398018,825000000,70.0,1400000
314711,421026,825000000,71.4,1400000
1651425,2181326,825000000,65.0,1400000
775820,1077971,825000000,56.5,1400000
299815,405673,825000000,57.1,1400000
251517,397252,825000000,47.1,1400000
251517,397252,825000000,15.0,1400000
115715,716577,825000000,5.0,1400000
115715,716577,825000000,0.0,1400000
129230,4077236,825000000,0.0,1400000
0,406455,825000000,0.0,1400000
21585,626810,413000000,0.0,1400000
21585,626810,413000000,0.0,1400000
21585,626810,413000000,0.0,1400000
21585,626810,413000000,0.0,1400000
27411,304160,825000000,22.7,1400000
27411,304160,825000000,50.0,1400000
27411,304160,825000000,72.2,1400000
284614,406335,825000000,65.2,1400000
284614,406335,825000000,68.2,1400000
284614,406335,825000000,68.2,1400000
4399042,5739561,825000000,66.7,1400000
4399042,5739561,825000000,63.6,1400000
1221091,1686854,825000000,56.5,1400000
1040273,1453761,825000000,60.0,1400000
1040273,1453761,825000000,47.6,1400000
305493,3338908,825000000,22.7,1400000
305493,3338908,825000000,10.0,1400000
641381,2533550,825000000,14.3,1400000
335634,1157116,825000000,42.9,1400000
47386,180245,825000000,65.0,1400000
47386,180245,825000000,70.0,1400000
16380,2333516,825000000,71.4,1400000
16380,2333516,825000000,68.2,1400000
16380,2333516,825000000,60.9,1400000
16380,2333516,825000000,66.7,1400000
5974032,7874870,825000000,56.5,1400000
570479,843136,825000000,54.5,1400000
93093,335033,825000000,55.0,1400000
80493,1895066,825000000,31.8,1400000
329852,655855,825000000,19.0,1400000
17630,193350,825000000,0.0,1400000
1389,61525,275000000,50.0,1400000
0,406623,275000000,0.0,1400000
26273,475043,543000000,0.0,1400000
3046,97557,413000000,0.0,1400000
590,20927,413000000,0.0,1400000
1216,83217,825000000,0.0,1400000
3094,128274,275000000,0.0,1400000
88901,500029,543000000,28.6,1400000
88901,500029,543000000,55.0,1400000
88901,500029,543000000,60.9,1400000
88901,500029,543000000,68.2,1400000
88901,500029,543000000,68.2,1400000
88901,500029,543000000,75.0,1400000
88901,500029,543000000,63.6,1400000
292013,394346,825000000,66.7,1400000
475704,669054,825000000,68.4,1400000
260390,401674,825000000,54.5,1400000
58634,180279,825000000,52.6,1400000
58634,180279,825000000,21.1,1400000
53170,193201,825000000,4.5,1400000
13695,167887,206000000,9.5,1400000
139824,406106,825000000,45.0,1400000
347447,607197,825000000,57.1,1400000
275783,406626,825000000,70.0,1400000
1108942,1494160,825000000,68.2,1400000
1108942,1494160,825000000,65.2,1400000
1108942,1494160,825000000,66.7,1400000
816673,1124272,825000000,66.7,1400000
557922,691130,825000000,66.7,1400000
2357449,3247306,825000000,65.0,1400000
553962,827354,825000000,52.2,1400000
33839,193277,825000000,45.0,1400000
199191,505728,825000000,21.1,1400000
314657,1448375,825000000,5.6,1400000
314657,1448375,825000000,100.0,1400000
826232,11561229,825000000,100.0,1400000
9730,181948,825000000,0.0,1400000
7205,327100,275000000,100.0,1400000
1197,84575,165000000,0.0,1400000
987176,10513417,275000000,0.0,1400000
987176,10513417,825000000,5.0,1400000
110966,694884,825000000,34.8,1400000
173642,555602,825000000,55.0,1400000
753234,1123107,825000000,63.6,1400000
294300,405470,825000000,66.7,1400000
456852,571948,825000000,68.2,1400000
378305,481156,825000000,68.2,1400000
1995185,2579801,825000000,68.2,1400000
1995185,2579801,825000000,66.7,1400000
1995185,2579801,825000000,56.5,1400000
3776392,5060722,825000000,57.1,1400000
1759395,2718098,825000000,40.9,1400000
638266,1141050,825000000,18.2,1400000
87808,421650,825000000,5.6,1400000
5441,144992,413000000,21.1,1400000
5441,144992,413000000,42.9,1400000
5441,144992,413000000,59.1,1400000
285843,405968,825000000,66.7,1400000
320143,395238,825000000,75.0,1400000
314111,406328,825000000,70.0,1400000
314111,406328,825000000,75.0,1400000
324196,404653,825000000,66.7,1400000
392,244443,825000000,61.9,1400000
1040912,1517507,825000000,57.1,1400000
590100,969228,825000000,55.0,1400000
365605,747752,825000000,30.0,1400000
353129,922157,825000000,15.0,1400000
330397,1436835,825000000,0.0,1400000
1555,54099,413000000,38.9,1400000
37988,477319,825000000,0.0,1400000
37988,477319,825000000,0.0,1400000
13514,353852,413000000,0.0,1400000
13514,353852,413000000,0.0,1400000
9137,278316,413000000,0.0,1400000
2417,69368,413000000,0.0,1400000
74545,890254,825000000,31.6,1400000
209981,404766,825000000,60.0,1400000
209981,404766,825000000,70.0,1400000
209981,404766,825000000,71.4,1400000
209981,404766,825000000,62.5,1400000
209981,404766,825000000,68.2,1400000
5849752,8066014,825000000,63.6,1400000
5849752,8066014,825000000,71.4,1400000
5849752,8066014,825000000,59.1,1400000
598250,906837,825000000,57.1,1400000
252879,397188,825000000,52.6,1400000
172372,397960,825000000,22.7,1400000
157375,541207,825000000,11.1,1400000
336104,1595306,825000000,14.3,1400000
127593,417321,825000000,45.0,1400000
263707,405042,825000000,61.9,1400000
287460,422183,825000000,63.6,1400000
1641037,2321177,825000000,63.6,1400000
1641037,2321177,825000000,60.9,1400000
1055482,1418842,825000000,73.7,1400000
1459455,1922179,825000000,66.7,1400000
310158,397632,825000000,63.6,1400000
287527,405797,825000000,61.9,1400000
287527,405797,825000000,55.0,1400000
40332,219067,825000000,33.3,1400000
21504,502516,825000000,19.0,1400000
114701,563033,825000000,0.0,1400000
10856,262674,543000000,44.0,1400000
4185,124076,413000000,0.0,1400000
1172,38664,413000000,0.0,1400000
1080,31822,413000000,0.0,1400000
1080,31822,413000000,0.0,1400000
1080,31822,413000000,0.0,1400000
8581,238753,413000000,9.5,1400000
40614,12157102,413000000,42.9,1400000
434140,756933,825000000,66.7,1400000
52428,1314782,825000000,45.8,1400000
299078,422340,825000000,65.2,1400000
1465084,1907290,825000000,71.4,1400000
472741,634302,825000000,66.7,1400000
543539,669317,825000000,66.7,1400000
1631632,2130170,825000000,59.1,1400000
1421804,1902478,825000000,65.0,1400000
1402945,1983665,825000000,55.0,1400000
1056096,1608877,825000000,44.4,1400000
190886,500542,825000000,18.2,1400000
190886,500542,825000000,0.0,1400000
2724,54532,543000000,31.6,1400000
297135,1011823,825000000,36.4,1400000
324628,547413,825000000,47.6,1400000
64155,244790,825000000,66.7,1400000
292705,406813,825000000,66.7,1400000
594439,763682,825000000,65.2,1400000
302401,405613,825000000,65.2,1400000
64463,915545,825000000,63.6,1400000
676923,921486,825000000,59.1,1400000
319682,484853,825000000,52.2,1400000
1131717,1738772,825000000,45.0,1400000
565077,948994,825000000,20.0,1400000
77714,422472,825000000,5.0,1400000
726960,11871653,206000000,0.0,1400000
58812,498877,825000000,0.0,1400000
58812,498877,825000000,0.0,1400000
58812,498877,825000000,0.0,1400000
58812,498877,825000000,0.0,1400000
17673,759452,275000000,100.0,1400000
3487,73637,543000000,0.0,1400000
65555,910429,825000000,28.6,1400000
65555,910429,825000000,52.4,1400000
1340372,3298765,825000000,61.9,1400000
1340372,3298765,825000000,66.7,1400000
1340372,3298765,825000000,75.0,1400000
1340372,3298765,825000000,68.2,1400000
297343,406311,825000000,71.4,1400000
297343,406311,825000000,63.6,1400000
297343,406311,825000000,54.2,1400000
263633,404854,825000000,57.1,1400000
263633,404854,825000000,42.9,1400000
1686941,2688209,825000000,25.0,1400000
86805,406344,825000000,9.5,1400000
536,406485,825000000,14.3,1400000
116027,499914,825000000,31.6,1400000
116027,499914,825000000,55.0,1400000
1904509,3650077,825000000,66.7,1400000
351286,459904,825000000,65.2,1400000
351286,459904,825000000,65.2,1400000
351286,459904,825000000,66.7,1400000
351286,459904,825000000,75.0,1400000
351286,459904,825000000,70.0,1400000
818483,1152810,825000000,59.1,1400000
526562,821752,825000000,54.5,1400000
526562,821752,825000000,52.9,1400000
270667,718505,825000000,20.0,1400000
19126,180407,825000000,5.0,1400000
44647,563452,825000000,100.0,1400000
2273,61330,413000000,0.0,1400000
875,41020,275000000,0.0,1400000
1048,40857,275000000,100.0,1400000
