memUse,memTot,memfreq,cpuidle,cpufreq
870692,11552205,413000000,76.5,1100000
1158324,10912213,825000000,76.5,800000
983824,8714833,543000000,76.5,900000
954,41007,275000000,95.2,700000
703928,8968957,165000000,94.1,800000
6315,149907,165000000,100.0,700000
606620,4725545,165000000,100.0,600000
828344,14167521,275000000,100.0,800000
699104,7685181,825000000,94.4,600000
6733,180401,825000000,100.0,700000
9136,236201,165000000,100.0,700000
346,12175,413000000,100.0,600000
418,9714,543000000,90.0,500000
6418,159802,825000000,100.0,800000
711,26418,413000000,94.4,800000
1089280,8353269,825000000,94.7,400000
1338040,11484101,825000000,100.0,600000
894883,9942673,543000000,100.0,500000
430,9708,543000000,100.0,800000
542,40909,165000000,100.0,800000
612408,4604665,825000000,100.0,800000
811152,6952165,413000000,100.0,700000
807932,11545249,413000000,94.1,700000
706676,9225529,825000000,94.7,800000
725752,7694909,275000000,100.0,600000
726516,7733837,275000000,100.0,800000
602684,4604569,825000000,100.0,500000
729592,7725825,275000000,100.0,700000
1651,126604,165000000,100.0,800000
610352,4981665,165000000,94.7,500000
798080,11247961,413000000,90.0,400000
388,21646,206000000,94.1,500000
1818,68830,275000000,100.0,300000
1818,68830,275000000,100.0,200000
3296,99827,413000000,100.0,300000
1519,50556,413000000,100.0,300000
1519,50556,413000000,94.7,200000
723828,7701933,275000000,100.0,300000
1305448,14376521,543000000,100.0,300000
1305448,14376521,206000000,94.7,300000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,94.4,400000
1437156,12378245,825000000,100.0,200000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,94.7,300000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,100.0,300000
1437156,12378245,825000000,100.0,300000
894344,6960233,825000000,100.0,300000
375,9116,543000000,100.0,300000
706885,6592433,206000000,100.0,300000
706885,6592433,206000000,100.0,300000
773,27874,413000000,76.5,700000
1202908,15718753,413000000,68.4,700000
536,33673,165000000,94.7,300000
317,27947,165000000,95.2,300000
317,27947,165000000,100.0,400000
317,27947,165000000,100.0,400000
