Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700326273.190219731,sCPU,14,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326273.352764524,sCPU,5,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326273.517452008,sCPU,15,1400000,bCPU,0,2000000,Mem,16,825000000,GPU,0,600000000
1700326273.681348134,sCPU,3,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326273.844120559,sCPU,9,1400000,bCPU,0,2000000,Mem,16,825000000,GPU,0,600000000
1700326274.006573141,sCPU,100,1400000,bCPU,0,2000000,Mem,17,825000000,GPU,0,600000000
1700326274.152634723,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326274.293477854,sCPU,100,1400000,bCPU,0,2000000,Mem,17,825000000,GPU,0,600000000
1700326274.435259763,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326274.575711424,sCPU,100,1400000,bCPU,0,2000000,Mem,16,825000000,GPU,0,600000000
1700326274.716336631,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326274.856822335,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326274.996572807,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326275.136538412,sCPU,100,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
1700326275.277536089,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326275.417851162,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326275.559343104,sCPU,100,1400000,bCPU,0,2000000,Mem,14,825000000,GPU,0,600000000
1700326275.700590039,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326275.845126491,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326275.984652874,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326276.128746020,sCPU,100,1400000,bCPU,0,2000000,Mem,15,825000000,GPU,0,600000000
1700326276.269751489,sCPU,100,1400000,bCPU,0,2000000,Mem,16,825000000,GPU,0,600000000
1700326276.410894171,sCPU,100,1400000,bCPU,0,2000000,Mem,16,825000000,GPU,0,600000000
1700326276.552319778,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326276.694924254,sCPU,60,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,2,600000000
1700326276.838595013,sCPU,54,1400000,bCPU,0,2000000,Mem,19,825000000,GPU,6,600000000
1700326276.983436849,sCPU,39,1400000,bCPU,0,2000000,Mem,40,825000000,GPU,27,600000000
1700326277.131412281,sCPU,31,1400000,bCPU,0,2000000,Mem,58,825000000,GPU,41,600000000
1700326277.280462163,sCPU,23,1400000,bCPU,0,2000000,Mem,80,825000000,GPU,59,600000000
1700326277.453319395,sCPU,48,1400000,bCPU,0,2000000,Mem,90,825000000,GPU,68,600000000
1700326277.625448439,sCPU,35,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,74,600000000
1700326277.797783073,sCPU,20,1400000,bCPU,0,2000000,Mem,99,825000000,GPU,77,600000000
1700326277.969079133,sCPU,19,1400000,bCPU,0,2000000,Mem,99,825000000,GPU,76,600000000
1700326278.142587385,sCPU,25,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,75,600000000
1700326278.313920113,sCPU,21,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,75,600000000
1700326278.468624459,sCPU,24,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,74,600000000
1700326278.642127544,sCPU,23,1400000,bCPU,0,2000000,Mem,93,825000000,GPU,70,600000000
1700326278.813124220,sCPU,24,1400000,bCPU,0,2000000,Mem,89,825000000,GPU,64,600000000
1700326278.984618703,sCPU,31,1400000,bCPU,0,2000000,Mem,80,825000000,GPU,58,600000000
1700326279.154517804,sCPU,35,1400000,bCPU,0,2000000,Mem,71,825000000,GPU,49,600000000
1700326279.323085364,sCPU,35,1400000,bCPU,0,2000000,Mem,51,825000000,GPU,32,600000000
1700326279.468002994,sCPU,51,1400000,bCPU,0,2000000,Mem,37,825000000,GPU,20,600000000
1700326279.632996987,sCPU,53,1400000,bCPU,0,2000000,Mem,24,825000000,GPU,9,600000000
1700326279.778582596,sCPU,51,1400000,bCPU,0,2000000,Mem,21,825000000,GPU,5,600000000
1700326279.944814001,sCPU,55,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,0,600000000
1700326280.111894516,sCPU,50,1400000,bCPU,0,2000000,Mem,24,825000000,GPU,10,600000000
1700326280.258958253,sCPU,43,1400000,bCPU,0,2000000,Mem,36,825000000,GPU,20,600000000
1700326280.405901653,sCPU,21,1400000,bCPU,0,2000000,Mem,53,825000000,GPU,34,600000000
1700326280.554829697,sCPU,22,1400000,bCPU,0,2000000,Mem,77,825000000,GPU,57,600000000
1700326280.725366026,sCPU,17,1400000,bCPU,0,2000000,Mem,87,825000000,GPU,65,600000000
1700326280.875395312,sCPU,12,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,74,600000000
1700326281.025901863,sCPU,21,1400000,bCPU,0,2000000,Mem,99,825000000,GPU,76,600000000
1700326281.199958090,sCPU,17,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,74,600000000
1700326281.350341721,sCPU,16,1400000,bCPU,0,2000000,Mem,102,825000000,GPU,77,600000000
1700326281.502159186,sCPU,24,1400000,bCPU,0,2000000,Mem,102,825000000,GPU,76,600000000
1700326281.674499778,sCPU,26,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,75,600000000
1700326281.825709850,sCPU,20,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,73,600000000
1700326281.978331965,sCPU,21,1400000,bCPU,0,2000000,Mem,92,825000000,GPU,69,600000000
1700326282.148553659,sCPU,20,1400000,bCPU,0,2000000,Mem,87,825000000,GPU,64,600000000
1700326282.298312270,sCPU,27,1400000,bCPU,0,2000000,Mem,79,825000000,GPU,57,600000000
1700326282.447774997,sCPU,42,1400000,bCPU,0,2000000,Mem,73,825000000,GPU,51,600000000
1700326282.596707083,sCPU,39,1400000,bCPU,0,2000000,Mem,52,825000000,GPU,31,600000000
1700326282.742354402,sCPU,41,1400000,bCPU,0,2000000,Mem,37,825000000,GPU,20,600000000
1700326282.887801465,sCPU,48,1400000,bCPU,0,2000000,Mem,27,825000000,GPU,10,600000000
1700326283.033268487,sCPU,52,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,5,600000000
1700326283.179516283,sCPU,100,1400000,bCPU,0,2000000,Mem,24,825000000,GPU,3,600000000
1700326283.322969743,sCPU,100,1400000,bCPU,0,2000000,Mem,21,825000000,GPU,0,600000000
1700326283.466590209,sCPU,100,1400000,bCPU,0,2000000,Mem,21,825000000,GPU,0,600000000
1700326283.608699670,sCPU,100,1400000,bCPU,0,2000000,Mem,21,825000000,GPU,0,600000000
1700326283.751387815,sCPU,12,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,0,600000000
1700326283.917125747,sCPU,100,1400000,bCPU,0,2000000,Mem,23,825000000,GPU,0,600000000
1700326284.058245803,sCPU,100,1400000,bCPU,0,2000000,Mem,19,825000000,GPU,0,600000000
1700326284.199539364,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326284.341636950,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326284.483138892,sCPU,100,1400000,bCPU,0,2000000,Mem,17,825000000,GPU,0,600000000
1700326284.623537801,sCPU,100,1400000,bCPU,0,2000000,Mem,17,825000000,GPU,0,600000000
1700326284.764353223,sCPU,100,1400000,bCPU,0,2000000,Mem,19,825000000,GPU,0,600000000
1700326284.906043254,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.048147882,sCPU,100,1400000,bCPU,0,2000000,Mem,17,825000000,GPU,0,600000000
1700326285.190627771,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.331867080,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.474189756,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.615832745,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.757398689,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326285.898322364,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326286.040646665,sCPU,100,1400000,bCPU,0,2000000,Mem,18,825000000,GPU,0,600000000
1700326286.182846462,sCPU,98,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,0,600000000
1700326286.348578227,sCPU,42,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,0,600000000
1700326286.493663446,sCPU,38,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,5,600000000
1700326286.638672912,sCPU,31,1400000,bCPU,0,2000000,Mem,36,825000000,GPU,22,600000000
1700326286.786237747,sCPU,32,1400000,bCPU,0,2000000,Mem,56,825000000,GPU,38,600000000
1700326286.954855517,sCPU,25,1400000,bCPU,0,2000000,Mem,67,825000000,GPU,49,600000000
1700326287.103802645,sCPU,13,1400000,bCPU,0,2000000,Mem,80,825000000,GPU,59,600000000
1700326287.252794400,sCPU,18,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,75,600000000
1700326287.404834664,sCPU,12,1400000,bCPU,0,2000000,Mem,98,825000000,GPU,76,600000000
1700326287.554885033,sCPU,20,1400000,bCPU,0,2000000,Mem,100,825000000,GPU,77,600000000
1700326287.703342563,sCPU,20,1400000,bCPU,0,2000000,Mem,100,825000000,GPU,77,600000000
1700326287.875365604,sCPU,19,1400000,bCPU,0,2000000,Mem,100,825000000,GPU,78,600000000
1700326288.025364430,sCPU,22,1400000,bCPU,0,2000000,Mem,97,825000000,GPU,75,600000000
1700326288.175759811,sCPU,25,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,74,600000000
1700326288.326240527,sCPU,34,1400000,bCPU,0,2000000,Mem,92,825000000,GPU,71,600000000
1700326288.499212888,sCPU,34,1400000,bCPU,0,2000000,Mem,88,825000000,GPU,63,600000000
1700326288.647587790,sCPU,20,1400000,bCPU,0,2000000,Mem,82,825000000,GPU,60,600000000
1700326288.795464594,sCPU,30,1400000,bCPU,0,2000000,Mem,75,825000000,GPU,53,600000000
1700326288.942348742,sCPU,41,1400000,bCPU,0,2000000,Mem,51,825000000,GPU,33,600000000
1700326289.087725219,sCPU,53,1400000,bCPU,0,2000000,Mem,39,825000000,GPU,22,600000000
1700326289.233481500,sCPU,54,1400000,bCPU,0,2000000,Mem,25,825000000,GPU,11,600000000
1700326289.379903926,sCPU,57,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,5,600000000
1700326289.524163994,sCPU,100,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,3,600000000
1700326289.667147898,sCPU,55,1400000,bCPU,0,2000000,Mem,20,825000000,GPU,3,600000000
1700326289.810238431,sCPU,49,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,8,600000000
1700326289.954467040,sCPU,37,1400000,bCPU,0,2000000,Mem,31,825000000,GPU,16,600000000
1700326290.100074941,sCPU,27,1400000,bCPU,0,2000000,Mem,61,825000000,GPU,43,600000000
1700326290.248074456,sCPU,24,1400000,bCPU,0,2000000,Mem,61,825000000,GPU,43,600000000
1700326290.396732201,sCPU,22,1400000,bCPU,0,2000000,Mem,76,825000000,GPU,55,600000000
1700326290.547799018,sCPU,16,1400000,bCPU,0,2000000,Mem,94,825000000,GPU,70,600000000
1700326290.696180295,sCPU,15,1400000,bCPU,0,2000000,Mem,94,825000000,GPU,71,600000000
1700326290.844580698,sCPU,16,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,73,600000000
1700326290.994426687,sCPU,16,1400000,bCPU,0,2000000,Mem,94,825000000,GPU,72,600000000
1700326291.145493504,sCPU,17,1400000,bCPU,0,2000000,Mem,94,825000000,GPU,72,600000000
1700326291.316546723,sCPU,17,1400000,bCPU,0,2000000,Mem,96,825000000,GPU,74,600000000
1700326291.485948184,sCPU,23,1400000,bCPU,0,2000000,Mem,95,825000000,GPU,72,600000000
1700326291.635311241,sCPU,16,1400000,bCPU,0,2000000,Mem,93,825000000,GPU,70,600000000
1700326291.784723008,sCPU,20,1400000,bCPU,0,2000000,Mem,87,825000000,GPU,64,600000000
1700326291.933170621,sCPU,30,1400000,bCPU,0,2000000,Mem,84,825000000,GPU,60,600000000
1700326292.081452645,sCPU,38,1400000,bCPU,0,2000000,Mem,71,825000000,GPU,48,600000000
1700326292.229921466,sCPU,40,1400000,bCPU,0,2000000,Mem,58,825000000,GPU,36,600000000
1700326292.378412080,sCPU,39,1400000,bCPU,0,2000000,Mem,46,825000000,GPU,24,600000000
1700326292.524946218,sCPU,53,1400000,bCPU,0,2000000,Mem,25,825000000,GPU,9,600000000
1700326292.670754333,sCPU,56,1400000,bCPU,0,2000000,Mem,24,825000000,GPU,7,600000000
