Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700422803.766913480,sCPU,0,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422803.941837633,sCPU,1,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422804.124623905,sCPU,41,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422804.306013031,sCPU,39,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422804.488848804,sCPU,15,1400000,bCPU,0,2000000,Mem,0,825000000,GPU,0,600000000
1700422804.669514044,sCPU,39,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422804.824135223,sCPU,2,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422804.977368755,sCPU,3,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.131622720,sCPU,3,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.286560486,sCPU,4,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.471545917,sCPU,46,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.625560211,sCPU,3,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.780299058,sCPU,4,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422805.934303186,sCPU,2,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.087515634,sCPU,3,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.240830501,sCPU,6,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.395533639,sCPU,9,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.549799646,sCPU,9,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.704455950,sCPU,65,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422806.857351060,sCPU,8,1400000,bCPU,0,2000000,Mem,2,825000000,GPU,0,600000000
1700422807.010072002,sCPU,51,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422807.163684081,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422807.317587666,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700422807.470778364,sCPU,100,1400000,bCPU,0,2000000,Mem,2,825000000,GPU,0,600000000
1700422807.626104886,sCPU,82,1400000,bCPU,0,2000000,Mem,43,825000000,GPU,62,600000000
1700422807.778372738,sCPU,98,1400000,bCPU,0,2000000,Mem,31,825000000,GPU,55,600000000
1700422807.930469669,sCPU,98,1400000,bCPU,0,2000000,Mem,45,825000000,GPU,71,600000000
1700422808.082522684,sCPU,98,1400000,bCPU,0,2000000,Mem,53,825000000,GPU,69,600000000
1700422808.234837536,sCPU,99,1400000,bCPU,0,2000000,Mem,49,825000000,GPU,69,600000000
1700422808.386972301,sCPU,98,1400000,bCPU,0,2000000,Mem,33,825000000,GPU,56,600000000
1700422808.538712769,sCPU,99,1400000,bCPU,0,2000000,Mem,58,825000000,GPU,72,600000000
1700422808.691041371,sCPU,99,1400000,bCPU,0,2000000,Mem,58,825000000,GPU,72,600000000
1700422808.843032260,sCPU,99,1400000,bCPU,0,2000000,Mem,53,825000000,GPU,68,600000000
