Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1723566917.498741845,sCPU,9,300000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566918.252802143,sCPU,44,700000,bCPU,100,2000000,Mem,17,825000000,GPU,0,177000000
1723566918.887360656,sCPU,19,400000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566919.595658196,sCPU,16,400000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566920.310073841,sCPU,34,600000,bCPU,100,2000000,Mem,15,825000000,GPU,0,177000000
1723566920.869725669,sCPU,5,300000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566921.594852898,sCPU,16,400000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566922.302961879,sCPU,33,600000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566922.864187116,sCPU,6,300000,bCPU,26,700000,Mem,19,825000000,GPU,84,177000000
1723566923.634977307,sCPU,21,500000,bCPU,39,900000,Mem,49,825000000,GPU,97,600000000
1723566924.334647735,sCPU,27,500000,bCPU,33,800000,Mem,111,825000000,GPU,94,600000000
1723566925.035790529,sCPU,6,300000,bCPU,100,2000000,Mem,16,825000000,GPU,0,177000000
1723566925.813365778,sCPU,45,700000,bCPU,100,2000000,Mem,17,825000000,GPU,0,177000000
1723566926.446977863,sCPU,23,500000,bCPU,100,2000000,Mem,17,825000000,GPU,0,177000000
1723566927.150148217,sCPU,31,600000,bCPU,100,2000000,Mem,17,825000000,GPU,0,177000000
1723566927.806371875,sCPU,23,500000,bCPU,100,2000000,Mem,18,825000000,GPU,0,177000000
1723566928.482664611,sCPU,28,500000,bCPU,100,2000000,Mem,18,825000000,GPU,0,177000000
1723566929.247185006,sCPU,42,700000,bCPU,100,2000000,Mem,18,825000000,GPU,0,177000000
1723566929.830236452,sCPU,32,600000,bCPU,100,2000000,Mem,20,825000000,GPU,0,177000000
1723566930.502686408,sCPU,56,900000,bCPU,100,2000000,Mem,20,825000000,GPU,0,177000000
1723566931.367264540,sCPU,65,1000000,bCPU,100,2000000,Mem,18,825000000,GPU,0,177000000
1723566931.974841973,sCPU,14,400000,bCPU,52,1100000,Mem,27,825000000,GPU,49,177000000
1723566932.749482890,sCPU,40,700000,bCPU,34,800000,Mem,42,825000000,GPU,98,600000000
1723566933.416094333,sCPU,21,500000,bCPU,30,700000,Mem,94,825000000,GPU,96,600000000
1723566934.177995135,sCPU,27,500000,bCPU,38,900000,Mem,41,825000000,GPU,26,266000000
1723566934.872909622,sCPU,30,600000,bCPU,100,2000000,Mem,23,825000000,GPU,0,177000000
1723566935.439016392,sCPU,7,300000,bCPU,100,2000000,Mem,22,825000000,GPU,0,177000000
1723566936.175027971,sCPU,30,600000,bCPU,100,2000000,Mem,22,825000000,GPU,0,177000000
1723566936.827747027,sCPU,22,500000,bCPU,100,2000000,Mem,23,825000000,GPU,0,177000000
1723566937.508989816,sCPU,29,500000,bCPU,100,2000000,Mem,23,825000000,GPU,0,177000000
1723566938.082487882,sCPU,7,300000,bCPU,100,2000000,Mem,23,825000000,GPU,0,177000000
1723566938.867481976,sCPU,46,800000,bCPU,100,2000000,Mem,25,825000000,GPU,0,177000000
1723566939.492717392,sCPU,17,400000,bCPU,100,2000000,Mem,24,825000000,GPU,0,177000000
1723566940.260836671,sCPU,42,700000,bCPU,53,1200000,Mem,54,825000000,GPU,98,600000000
1723566940.917107985,sCPU,21,500000,bCPU,14,500000,Mem,107,825000000,GPU,95,600000000
1723566941.689498363,sCPU,28,500000,bCPU,60,1300000,Mem,73,825000000,GPU,54,420000000
1723566942.374898619,sCPU,27,500000,bCPU,100,2000000,Mem,10,825000000,GPU,0,177000000
1723566943.048622765,sCPU,5,300000,bCPU,100,2000000,Mem,11,825000000,GPU,0,177000000
1723566943.818845594,sCPU,46,800000,bCPU,100,2000000,Mem,11,825000000,GPU,0,177000000
1723566944.439160980,sCPU,17,400000,bCPU,100,2000000,Mem,11,825000000,GPU,0,177000000
1723566945.151865630,sCPU,19,400000,bCPU,100,2000000,Mem,12,825000000,GPU,0,177000000
1723566945.858069095,sCPU,33,600000,bCPU,100,2000000,Mem,12,825000000,GPU,0,177000000
1723566946.417440623,sCPU,5,300000,bCPU,100,2000000,Mem,12,825000000,GPU,0,177000000
1723566947.139740010,sCPU,21,500000,bCPU,100,2000000,Mem,11,825000000,GPU,0,177000000
1723566947.814123681,sCPU,27,500000,bCPU,100,2000000,Mem,12,825000000,GPU,0,177000000
1723566948.375486493,sCPU,5,300000,bCPU,100,2000000,Mem,12,825000000,GPU,0,177000000
1723566948.944273581,sCPU,8,300000,bCPU,44,1000000,Mem,17,825000000,GPU,20,177000000
1723566949.703997749,sCPU,22,500000,bCPU,9,400000,Mem,85,825000000,GPU,95,600000000
1723566950.393985641,sCPU,6,300000,bCPU,12,400000,Mem,85,825000000,GPU,95,600000000
1723566951.082906711,sCPU,9,300000,bCPU,65,1400000,Mem,28,825000000,GPU,22,177000000
1723566951.850389279,sCPU,43,700000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566952.486048817,sCPU,20,400000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566953.191356852,sCPU,19,400000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566953.898026802,sCPU,34,600000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566954.550736594,sCPU,26,500000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566955.305249991,sCPU,41,700000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566955.942948534,sCPU,20,400000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566956.655985067,sCPU,14,400000,bCPU,40,900000,Mem,22,825000000,GPU,33,177000000
1723566957.405532386,sCPU,35,600000,bCPU,7,300000,Mem,104,825000000,GPU,93,600000000
1723566958.139299891,sCPU,6,300000,bCPU,73,1500000,Mem,35,825000000,GPU,25,177000000
1723566958.909595695,sCPU,45,700000,bCPU,100,2000000,Mem,9,825000000,GPU,0,177000000
1723566959.546803577,sCPU,20,400000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566960.300141461,sCPU,35,600000,bCPU,100,2000000,Mem,9,825000000,GPU,0,177000000
1723566960.949916573,sCPU,23,500000,bCPU,100,2000000,Mem,9,825000000,GPU,0,177000000
1723566961.629151053,sCPU,4,200000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566962.521423555,sCPU,69,1000000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566963.124818220,sCPU,5,300000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566963.896113200,sCPU,47,800000,bCPU,100,2000000,Mem,8,825000000,GPU,0,177000000
1723566964.516194063,sCPU,20,400000,bCPU,100,2000000,Mem,10,825000000,GPU,0,177000000
