Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700423010.248910997,sCPU,0,1400000,bCPU,0,2000000,Mem,0,825000000,GPU,0,600000000
1700423010.422920678,sCPU,30,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423010.605483447,sCPU,32,1400000,bCPU,0,2000000,Mem,0,825000000,GPU,0,600000000
1700423010.788360845,sCPU,25,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423010.944364670,sCPU,70,1400000,bCPU,0,2000000,Mem,3,825000000,GPU,0,600000000
1700423011.096727147,sCPU,100,1400000,bCPU,0,2000000,Mem,2,825000000,GPU,0,600000000
1700423011.249000123,sCPU,100,1400000,bCPU,0,2000000,Mem,5,825000000,GPU,0,600000000
1700423011.401649897,sCPU,97,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423011.554515757,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423011.706619480,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423011.858753746,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.011083473,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.164081918,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.316735900,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.469396673,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.622625622,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.775072226,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423012.927838501,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423013.080421524,sCPU,100,1400000,bCPU,0,2000000,Mem,1,825000000,GPU,0,600000000
1700423013.232986671,sCPU,100,1400000,bCPU,0,2000000,Mem,6,825000000,GPU,0,600000000
1700423013.385264439,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700423013.539172189,sCPU,85,1400000,bCPU,0,2000000,Mem,13,825000000,GPU,0,600000000
1700423013.692901521,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700423013.847367405,sCPU,63,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700423014.002214962,sCPU,31,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700423014.156476010,sCPU,4,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,45,600000000
1700423014.339805540,sCPU,18,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,45,600000000
1700423014.542828161,sCPU,83,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,47,600000000
1700423014.696987166,sCPU,79,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,47,600000000
1700423014.851365924,sCPU,0,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,16,600000000
1700423015.005508595,sCPU,4,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,16,600000000
1700423015.205822924,sCPU,50,1400000,bCPU,0,2000000,Mem,5,825000000,GPU,91,600000000
1700423015.361020653,sCPU,64,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700423015.516604554,sCPU,99,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700423015.671063063,sCPU,33,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700423015.824715727,sCPU,1,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700423016.006608694,sCPU,51,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,61,600000000
